Node1	Node2	AdamicAdar	WeightedKatz	IsEdge	BonCen1	BonCen2	StatusDiff
44041	48124	1.85972743231	2.7075	1	2.9e-05	0.003762	0.003733
33644	34944	24.455147819	120.935	1	0.098543	0.059034	0.039509
43863	44735	1.74962271732	2.7075	1	2.2e-05	2.2e-05	0
38396	49245	3.0362516012	12.635	1	0.096669	0.003276	0.093393
43278	49627	5.18075051425	18.05	1	0.001374	0.005707	0.004333
37043	42448	0.678317624769	2.7075	1	0.002356	0.00118	0.001176
41271	50404	6.20776867523	26.1725	1	0.148181	0.008309	0.139872
47530	47847	2.79055313276	4.5125	1	0	0	0
38769	47387	3.25456872209	7.22	1	0.005217	0.001172	0.004045
33715	36756	0.99808076419	5.415	1	0.009944	0.006475	0.003469
39649	46183	2.58833086923	12.635	1	0.014327	0.018113	0.003786
35690	51738	1.65679249055	9.025	1	0.040824	0.011819	0.029005
48059	51023	3.19739337592	8.1225	1	0.000318	0.000318	0
33860	35609	0.778777712321	3.61	1	0.009125	0.000567	0.008558
36670	44061	4.18513307136	18.9525	1	0.038293	0.013678	0.024615
40235	40901	9.56183799471	46.93	1	0.039235	0.059056	0.019821
33646	51143	3.20054750248	9.025	1	0.086346	0.001493	0.084853
41733	45077	4.20263683592	17.1475	1	0.006801	0.058104	0.051303
35545	39704	1.97011418829	7.22	1	0.005572	0.001182	0.00439
32783	36403	37.0770421617	165.1575	1	0.050909	0.088983	0.038074
31148	41232	1.388761748	5.415	1	0.001827	0.001827	0
36710	38840	1.9101905197	5.415	1	0.010106	0.001977	0.008129
42664	43210	5.24944701633	17.1475	1	0.034942	0.001808	0.033134
36578	42770	2.73058139631	7.22	1	0.000548	2.8e-05	0.00052
43377	47697	2.71334085317	4.5125	1	0	0	0
42139	46798	2.48533973824	3.61	1	0.001173	9.5e-05	0.001078
33420	35571	1.23869796538	1.805	1	0.006877	4.5e-05	0.006832
35182	36392	2.16528342885	11.7325	1	0.008386	0.058504	0.050118
34949	47739	4.6265077239	15.3425	1	0.027948	0.002101	0.025847
37045	40462	1.8321080054	6.3175	1	0.001285	0.091747	0.090462
38339	42642	1.3591068463	3.61	1	3.8e-05	3.8e-05	0
34059	40445	10.363695271	38.8075	1	0.086046	0.009487	0.076559
46003	50330	3.21990677648	14.44	1	0.053094	0.005215	0.047879
45944	47161	8.03319884551	39.71	1	0.041561	0.024132	0.017429
35819	37209	1.49939458903	5.415	1	0.001566	0.002603	0.001037
31541	39387	2.11678981726	6.3175	1	0.006987	0.003341	0.003646
32055	34180	2.01704389531	4.5125	1	0.000289	0.000606	0.000317
36094	40790	3.19264210366	16.245	1	0.010283	0.049952	0.039669
36380	41859	2.94448124897	16.245	1	0.042109	0.012324	0.029785
36910	40941	1.95933284591	8.1225	1	0.004256	0.001912	0.002344
44083	46150	2.294386456	10.83	1	0.019326	0.004046	0.01528
31046	37749	1.51775707705	5.415	1	0.002919	0.000463	0.002456
36777	40270	6.49531937508	30.685	1	0.01412	0.039587	0.025467
39173	50319	4.10411157087	15.3425	1	0.022803	0.003738	0.019065
30906	49270	3.84940286428	18.9525	1	0.118803	0.011085	0.107718
40093	40314	2.97788784037	7.22	1	0.000724	0.000446	0.000278
45076	48604	2.13423193978	5.415	1	0.004331	0.00084	0.003491
35390	50241	2.22832390029	6.3175	1	0.109738	0.002264	0.107474
31963	40061	0	0	1	0	0	0
32052	39174	6.73119301883	33.3925	1	0.030474	0.02881	0.001664
33817	39056	2.78821822221	11.7325	1	0.00274	0.00457	0.00183
36978	40322	0.928117931938	1.805	1	0.000388	0.037555	0.037167
47568	47655	6.70542397867	31.5875	1	0.06358	0.014232	0.049348
37643	41267	10.9044493493	55.955	1	0.057678	0.031616	0.026062
33732	42084	2.81609305936	11.7325	1	0.052926	0.002305	0.050621
45800	46174	3.83527069659	14.44	1	0.002699	0.004145	0.001446
31479	44145	4.46066671357	22.5625	1	0.037087	0.01662	0.020467
30993	35156	4.86627831782	20.7575	1	0.009879	0.009187	0.000692
40040	43802	1.69703953726	4.5125	1	0.012565	0.000495	0.01207
36094	45297	2.51582961434	7.22	1	0.010283	0.000219	0.010064
33957	36145	1.44269504089	0.9025	1	1e-06	0	1e-06
40493	41353	2.29775810164	7.22	1	0.000702	0.025453	0.024751
41271	50566	4.79336591037	21.66	1	0.148181	0.006949	0.141232
34059	36809	9.81023262984	48.735	1	0.086046	0.021963	0.064083
33631	48716	2.91553385403	13.5375	1	0.01744	0.012264	0.005176
36654	41355	7.94149116145	38.8075	1	0.020143	0.043096	0.022953
35390	49376	6.14574391265	29.7825	1	0.109738	0.010285	0.099453
36173	41220	4.49895867637	19.855	1	0.042117	0.005335	0.036782
31984	40611	0.644252252274	1.805	1	0.0025	4.9e-05	0.002451
40798	49678	2.02207529823	7.22	1	0.082023	0.00242	0.079603
34694	46382	4.24506569458	17.1475	1	0.04908	0.003817	0.045263
34083	41819	0.233826997986	0.9025	1	0.002318	7.2e-05	0.002246
31279	41986	3.70057702669	16.245	1	0.015097	0.012972	0.002125
34949	41875	5.66849322547	27.075	1	0.027948	0.029734	0.001786
43046	49673	5.88310029973	21.66	1	0.007275	0.017252	0.009977
36140	51905	10.0860509309	47.8325	1	0.019563	0.058617	0.039054
34010	39665	3.72068533092	12.635	1	0.000913	0.001621	0.000708
35513	44828	2.65571120463	9.025	1	0.100178	0.001814	0.098364
32718	36207	14.3903980657	71.2975	1	0.035266	0.087778	0.052512
31087	34586	0.353171003157	1.805	1	0.028142	0.00083	0.027312
31772	40084	4.20165232579	16.245	1	0.061158	0.003151	0.058007
32151	34082	7.57899670936	37.0025	1	0.075941	0.013789	0.062152
36494	38741	3.22854472959	10.83	1	0.013304	0.003274	0.01003
36068	41997	4.69057306105	22.5625	1	0.016042	0.057255	0.041213
32678	42433	8.99771698449	35.1975	1	0.011206	0.012169	0.000962999999999999
32719	36584	0.800122062032	3.61	1	0.003588	0.001429	0.002159
33979	49342	2.76666106957	9.9275	1	0.002427	0.023407	0.02098
36262	42756	1.36129695898	4.5125	1	0.001257	0.00325	0.001993
33769	38093	0.892383818755	2.7075	1	0.000547	0.040328	0.039781
31162	42934	1.99761956558	6.3175	1	0.000615	0.000521	9.4e-05
31395	42727	5.7880699614	27.075	1	0.011675	0.053291	0.041616
31684	33245	1.59082226966	6.3175	1	0.006294	0.0083	0.002006
31913	35662	1.44269504089	0.9025	1	6e-06	0.001029	0.001023
49124	49516	16.0463967986	78.5175	1	0.039284	0.068845	0.029561
32151	51087	6.20076924939	27.075	1	0.075941	0.00741	0.068531
48542	50479	5.81653607883	27.9775	1	0.014705	0.049255	0.03455
34120	38278	4.25023770529	12.635	1	0.00189	0.000427	0.001463
34738	34765	0.897930738387	1.805	1	0.000118	0.004578	0.00446
33528	41968	6.38140116878	34.295	1	0.042992	0.026201	0.016791
47609	48296	0.417032391424	0.9025	1	0.001176	1.3e-05	0.001163
45344	49452	3.82096577848	12.635	1	0.039913	0.004272	0.035641
40083	49684	7.10638650486	26.1725	1	0.03826	0.003257	0.035003
33632	44207	2.95443382668	9.9275	1	0.06756	0.001599	0.065961
34860	39791	3.79664104652	18.9525	1	0.028606	0.009703	0.018903
31745	39632	4.72629339639	22.5625	1	0.012366	0.05055	0.038184
37232	43427	6.08116276851	24.3675	1	0.088255	0.0043	0.083955
38842	42962	0.352956123865	0.9025	1	8.1e-05	7e-06	7.4e-05
32897	38664	2.30797364829	9.025	1	0.009602	0.014361	0.004759
34111	42102	4.01548879651	15.3425	1	0.002353	0.050434	0.048081
32192	34792	49.4488398215	224.7225	1	0.079698	0.112376	0.032678
46714	47392	0.918157714037	4.5125	1	0.041172	0.001559	0.039613
37958	44965	3.78815080192	15.3425	1	0.015393	0.01251	0.002883
32508	43179	7.04961210546	31.5875	1	0.078891	0.012645	0.066246
38739	43350	5.33821995588	27.9775	1	0.03909	0.018598	0.020492
37422	50772	14.4754653068	67.6875	1	0.057007	0.027164	0.029843
31662	33219	6.04341968847	27.9775	1	0.016537	0.036517	0.01998
42644	51158	1.41946193792	6.3175	1	0.004216	0.002349	0.001867
40133	48542	2.64543860955	12.635	1	0.009384	0.014705	0.005321
42650	48186	3.85418482739	15.3425	1	0.020462	0.00339	0.017072
44758	48606	3.54456747918	10.83	1	0.000341	0.000341	0
50122	51231	7.89537454047	34.295	1	0.02481	0.013738	0.011072
35957	40072	1.27216860322	6.3175	1	0.004575	0.015837	0.011262
37207	38818	2.1391250581	7.22	1	0.010853	0.005173	0.00568
48950	50897	5.38599488704	21.66	1	0.011605	0.009991	0.001614
31968	34630	1.99310021556	6.3175	1	0.001623	0.003634	0.002011
45728	46676	10.4558009002	43.32	1	0.028768	0.006728	0.02204
33499	40107	1.53746081116	6.3175	1	0.002153	0.075033	0.07288
49073	49342	1.80769974033	4.5125	1	0.000741	0.023407	0.022666
50274	50320	13.0878561862	60.4675	1	0.021369	0.078595	0.057226
37290	49977	16.1487064131	79.42	1	0.043232	0.058255	0.015023
