"investors"	"companies"	"time"
30906	726	"2013-03"
30906	727	"2012-07"
30906	728	"2013-11"
30906	728	"2012-07"
30906	729	"2011-01"
30906	730	"2010-08"
30906	730	"2011-01"
30906	731	"2012-11"
30906	732	"2011-10"
30906	733	"2012-11"
30906	734	"2012-07"
30906	735	"2014-01"
30906	736	"2012-02"
30906	737	"2012-07"
30906	737	"2013-05"
30906	737	"2011-12"
30906	738	"2014-02"
30906	739	"2014-05"
30906	740	"2013-03"
30906	741	"2011-07"
30906	742	"2014-01"
30906	742	"2011-10"
30906	743	"2014-04"
30906	744	"2012-07"
30906	745	"2014-08"
30906	746	"2010-03"
30906	747	"2013-07"
30906	748	"2013-01"
30906	749	"2014-04"
30906	750	"2011-12"
30906	751	"2010-08"
30906	752	"2014-08"
30906	752	"2014-07"
30906	753	"2010-09"
30906	754	"2012-02"
30906	755	"2011-10"
30906	755	"2012-07"
30906	755	"2014-06"
30906	756	"2011-09"
30906	756	"2014-05"
30906	756	"2012-05"
30906	757	"2014-08"
30906	758	"2014-02"
30906	759	"2011-10"
30906	759	"2013-01"
30906	760	"2011-05"
30906	760	"2012-05"
30906	761	"2014-05"
30906	761	"2014-08"
30906	762	"2011-08"
30906	762	"2011-10"
30906	763	"2011-01"
30906	764	"2014-01"
30906	765	"2011-10"
30906	765	"2013-04"
30906	146	"2011-12"
30906	146	"2010-12"
30906	146	"2010-09"
30906	766	"2011-01"
30906	766	"2011-09"
30906	766	"2010-08"
30906	767	"2012-11"
30906	767	"2013-08"
30906	768	"2011-03"
30906	769	"2013-04"
30906	769	"2014-03"
30906	770	"2011-01"
30906	771	"2012-01"
30906	772	"2012-06"
30906	773	"2011-06"
30906	774	"2011-11"
30906	775	"2013-08"
30906	775	"2011-08"
30906	776	"2011-01"
30906	777	"2014-05"
30906	777	"2011-08"
30906	777	"2013-03"
30906	778	"2011-10"
30906	779	"2013-10"
30906	779	"2012-10"
30906	780	"2011-01"
30906	781	"2010-10"
30906	782	"2011-01"
30906	101	"2011-11"
30906	101	"2012-07"
30906	783	"2012-09"
30906	784	"2010-08"
30906	785	"2012-02"
30906	786	"2011-11"
30906	786	"2012-05"
30906	787	"2011-08"
30906	788	"2013-10"
30906	789	"2013-11"
30906	790	"2010-08"
30906	791	"2014-04"
30906	791	"2012-07"
30906	792	"2011-03"
30906	792	"2013-04"
30906	793	"2013-05"
30906	794	"2011-04"
30906	795	"2013-08"
30906	796	"2013-10"
30906	796	"2014-07"
30906	797	"2010-07"
30906	798	"2014-01"
30906	798	"2012-08"
30906	799	"2013-04"
30906	800	"2013-10"
30906	801	"2012-07"
30906	802	"2013-06"
30906	802	"2012-03"
30906	803	"2013-04"
30906	803	"2011-05"
30906	804	"2013-10"
30906	805	"2013-07"
30906	806	"2012-09"
30906	807	"2011-10"
30906	808	"2014-07"
30906	809	"2013-10"
30906	810	"2010-11"
30906	811	"2012-12"
30906	811	"2012-11"
30906	812	"2014-09"
30906	813	"2012-09"
30906	814	"2014-06"
30906	814	"2013-09"
30906	815	"2011-01"
30906	815	"2012-01"
30906	816	"2013-10"
30906	816	"2014-08"
30906	817	"2014-01"
30906	818	"2011-05"
30906	818	"2012-08"
30906	819	"2013-01"
30906	820	"2014-01"
30906	821	"2014-01"
30906	822	"2013-07"
30906	823	"2014-08"
30906	824	"2011-09"
30906	824	"2013-07"
30906	825	"2014-08"
30906	826	"2009-12"
30906	827	"2014-08"
30906	828	"2014-08"
30906	829	"2014-08"
30906	830	"2014-08"
30906	831	"2014-08"
30906	832	"2014-07"
30906	833	"2014-08"
30906	834	"2014-08"
30906	835	"2011-11"
30906	836	"2014-08"
30906	837	"2014-08"
30906	838	"2014-08"
30906	839	"2014-07"
30906	840	"2014-08"
30906	841	"2010-09"
30906	842	"2014-07"
30906	843	"2010-11"
30906	844	"2012-09"
30906	844	"2011-10"
30906	845	"2014-06"
30906	846	"2013-07"
30906	847	"2014-08"
30906	848	"2014-08"
30906	849	"2013-12"
30906	849	"2013-04"
30906	850	"2011-08"
30906	851	"2013-05"
30906	851	"2012-11"
30906	852	"2012-01"
30906	852	"2010-04"
30906	853	"2013-06"
30906	853	"2014-04"
30906	854	"2011-05"
30906	855	"2011-11"
30906	856	"2012-07"
30906	856	"2013-02"
30906	857	"2014-02"
30906	857	"2014-09"
30906	858	"2013-11"
30906	858	"2013-06"
30906	858	"2014-09"
30906	859	"2012-07"
30906	859	"2011-09"
30906	860	"2014-07"
30906	861	"2014-08"
30906	862	"2014-08"
30906	863	"2014-07"
30906	864	"2014-07"
30906	865	"2013-07"
30906	866	"2014-08"
30906	867	"2011-10"
30906	867	"2013-03"
30906	868	"2013-06"
30906	869	"2014-08"
30906	870	"2014-06"
30906	871	"2014-01"
30906	872	"2013-04"
30906	872	"2013-09"
30906	873	"2014-04"
30906	874	"2014-03"
30906	875	"2014-01"
30906	876	"2012-08"
30906	877	"2014-04"
30906	878	"2014-01"
30906	879	"2014-05"
30906	880	"2014-07"
30906	881	"2014-01"
30906	882	"2014-01"
30906	883	"2013-10"
30906	884	"2012-09"
30906	885	"2014-02"
30906	886	"2013-04"
30906	886	"2012-10"
30906	887	"2014-08"
30906	888	"2012-12"
30906	889	"2014-08"
30906	890	"2013-10"
30906	890	"2012-06"
30907	891	"2013-04"
30908	892	"2010-11"
30909	893	"2013-12"
30909	894	"2013-11"
30910	895	"2013-09"
30910	896	"2009-03"
30910	897	"2013-07"
30910	898	"2011-07"
30910	899	"2012-10"
30910	900	"2008-02"
30910	901	"2013-10"
30910	902	"2010-12"
30910	902	"2008-12"
30910	903	"2010-06"
30910	904	"2012-04"
30910	905	"2008-10"
30910	906	"2009-03"
30910	906	"2009-11"
30910	906	"2011-08"
30910	907	"2014-03"
30910	908	"2012-06"
30910	908	"2010-06"
30910	908	"2014-01"
30910	909	"2012-08"
30910	910	"2007-01"
30910	910	"2009-01"
30910	910	"2010-10"
30910	911	"2014-03"
30910	912	"2013-03"
30910	912	"2006-10"
30910	912	"2010-04"
30910	913	"2014-06"
30910	914	"2012-07"
30910	914	"2014-04"
30910	914	"2012-04"
30910	915	"2009-10"
30910	916	"2014-05"
30910	917	"2009-04"
30910	918	"2013-03"
30910	919	"2014-06"
30910	920	"2006-03"
30910	920	"2007-05"
30910	921	"2013-04"
